n,m,p,seed,algoritmo,dim_cover,tempo_sec,valid
100,100,0.3,17,Greedy,6,0.000195,1
100,100,0.3,17,GreedyHashMap,6,7e-05,1
100,100,0.3,17,Randomized,21,0.001483,1
100,100,0.3,53,Greedy,6,0.000186,1
100,100,0.3,53,GreedyHashMap,6,6.9e-05,1
100,100,0.3,53,Randomized,20,0.001142,1
100,100,0.3,77,Greedy,6,0.000197,1
100,100,0.3,77,GreedyHashMap,6,6.9e-05,1
100,100,0.3,77,Randomized,20,0.001349,1
100,100,0.3,101,Greedy,6,0.000199,1
100,100,0.3,101,GreedyHashMap,6,6.9e-05,1
100,100,0.3,101,Randomized,17,0.001399,1
100,100,0.3,200,Greedy,5,0.000152,1
100,100,0.3,200,GreedyHashMap,5,6e-05,1
100,100,0.3,200,Randomized,24,0.001396,1
100,100,0.5,42,Greedy,4,0.000172,1
100,100,0.5,42,GreedyHashMap,4,7.5e-05,1
100,100,0.5,42,Randomized,14,0.001774,1
100,100,0.5,123,Greedy,4,0.000172,1
100,100,0.5,123,GreedyHashMap,4,7.1e-05,1
100,100,0.5,123,Randomized,19,0.001684,1
100,100,0.5,7,Greedy,4,0.000176,1
100,100,0.5,7,GreedyHashMap,4,7.1e-05,1
100,100,0.5,7,Randomized,16,0.001614,1
100,100,0.5,31,Greedy,4,0.000166,1
100,100,0.5,31,GreedyHashMap,4,7.1e-05,1
100,100,0.5,31,Randomized,13,0.001558,1
100,100,0.5,999,Greedy,4,0.000176,1
100,100,0.5,999,GreedyHashMap,4,7e-05,1
100,100,0.5,999,Randomized,16,0.001566,1
100,100,0.5,17,Greedy,4,0.000185,1
100,100,0.5,17,GreedyHashMap,4,7e-05,1
100,100,0.5,17,Randomized,23,0.001098,1
100,100,0.5,53,Greedy,4,0.000175,1
100,100,0.5,53,GreedyHashMap,4,7.2e-05,1
100,100,0.5,53,Randomized,20,0.001183,1
100,100,0.5,77,Greedy,4,0.000177,1
100,100,0.5,77,GreedyHashMap,4,6.9e-05,1
100,100,0.5,77,Randomized,17,0.001554,1
100,100,0.5,101,Greedy,4,0.000174,1
100,100,0.5,101,GreedyHashMap,4,7e-05,1
100,100,0.5,101,Randomized,15,0.001755,1
100,100,0.5,200,Greedy,4,0.000178,1
100,100,0.5,200,GreedyHashMap,4,7.5e-05,1
100,100,0.5,200,Randomized,18,0.001517,1
200,20,0.1,42,Greedy,19,0.000101,1
200,20,0.1,42,GreedyHashMap,19,4.5e-05,1
200,20,0.1,42,Randomized,19,0.000199,1
200,20,0.1,123,Greedy,20,0.000108,1
200,20,0.1,123,GreedyHashMap,20,4.4e-05,1
200,20,0.1,123,Randomized,20,0.000191,1
200,20,0.1,7,Greedy,20,0.000104,1
200,20,0.1,7,GreedyHashMap,20,4.2e-05,1
200,20,0.1,7,Randomized,20,0.000191,1
200,20,0.1,31,Greedy,20,0.000109,1
200,20,0.1,31,GreedyHashMap,20,4.1e-05,1
200,20,0.1,31,Randomized,20,0.000191,1
200,20,0.1,999,Greedy,20,0.000117,1
200,20,0.1,999,GreedyHashMap,20,4.3e-05,1
200,20,0.1,999,Randomized,20,0.000198,1
200,20,0.1,17,Greedy,20,0.000115,1
200,20,0.1,17,GreedyHashMap,20,4.4e-05,1
200,20,0.1,17,Randomized,20,0.000196,1
200,20,0.1,53,Greedy,19,0.000105,1
200,20,0.1,53,GreedyHashMap,19,4.4e-05,1
200,20,0.1,53,Randomized,19,0.000195,1
200,20,0.1,77,Greedy,19,0.000112,1
200,20,0.1,77,GreedyHashMap,19,4.3e-05,1
200,20,0.1,77,Randomized,19,0.000192,1
200,20,0.1,101,Greedy,19,0.000113,1
200,20,0.1,101,GreedyHashMap,19,4.2e-05,1
200,20,0.1,101,Randomized,19,0.000188,1
200,20,0.1,200,Greedy,20,0.000112,1
200,20,0.1,200,GreedyHashMap,20,4e-05,1
200,20,0.1,200,Randomized,20,0.000192,1
200,20,0.3,42,Greedy,10,0.000154,1
200,20,0.3,42,GreedyHashMap,11,5.8e-05,1
200,20,0.3,42,Randomized,17,0.000377,1
200,20,0.3,123,Greedy,12,0.000158,1
200,20,0.3,123,GreedyHashMap,12,6e-05,1
